,No,,Nama Instansi Pemohon,Nomor Surat,Judul atau Tema Kegiatan,Lokasi/Tempat Kegiatan,Tanggal Mulai,Tanggal Selesai,Jam Mulai (WITA),Jam Selesai (WITA),Platform (Zoom/YT/Dll),Operator,dokumentasi ,AKUN ZOOM ,Informasi Pimpinan yang menghadiri kegiatan,KET
,105,57,IKP,,Harmonisasi Perda,Command Center,"Selasa, 10 Juni 2025","Selasa, 10 Juni 2025",13.00,Selesai,Peminjaman Ruangan ,,,,,
,106,58,Komisi Informasi Kaltara,038/LBG/KI-KALTARA/V/2025,Launching Pelaksanaan Monitoring dan Evaluasi Keterbukaan Informasi Publik,Aula Kantor Gubernur Lantai 1,"Kamis, 12 Juni 2025","Kamis, 12 Juni 2025",8.00,12.00,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,107,59,Kadis,,Rapat dengan Pak Sekda,,"Kamis, 12 Juni 2025","Kamis, 12 Juni 2025",15.00,,,,,diskominfo.kaltara001@gmail.com,,
,108,60,Dinas Pemberdayaan Perempuan,,Peningkatan Kapasitas Sumberdaya Lembaga Layanan Pemberdayaan Perempuan Kewenangan Provinsi,Ruang Serbaguna Gedung Gadis,"Kamis, 12 Juni 2025","Kamis, 12 Juni 2025",8.00,,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,109,61,Statistik,,Pembinaan Statistik Sektoral DKISP oleh BPS,Command Center,"Kamis, 12 Juni 2025","Kamis, 12 Juni 2025",10.00,12.00,Peminjaman Ruangan,,,,,
,110,62,Komisi Informasi Kaltara,,Agenda Sidang Pemeriksaan Saksi,KI,"Jumat, 13 Juni 2025","Jumat, 13 Juni 2025",8.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,111,63,Dinas Sosial ,460/259/Dinsos-RS,Sosialisasi Mekanisme Penggunaan dan Pelaporan Pertanggungjawaban Dana Bantuan Sosial ,Command Center,"Senin, 16 Juni 2025","Senin, 16 Juni 2025",9,12.00,Fasilitasi Zoom dan Peminjaman Ruangan ,,,diskominfo.kaltara001@gmail.com,,
,112,64,Statistik,,Pembinaan Statistik Sektoral DKISP oleh BPS,Command Center,"Kamis, 26 Juni 2025","Kamis, 26 Juni 2025",10.00,12.00,Peminjaman Ruangan,,,,,
,113,65,APTIKA,,PERSIAPAN AUDIENSI,Command Center,"Rabu, 18 Juni 2025","Rabu, 18 Juni 2025",10.01,12.01,Peminjaman Ruangan,,,,,
,114,66,Biro Pem Otda,,"rapat monitoring dan evaluasi hasil
kesepakatan Pertemuan Tim Teknis dan Sidang ke-26 (7) KK/JKK Sosek Malindo
Tingkat Provinsi Kalimantan Utara/Peringkat Negeri Sabah Tahun 2024",Ruang Rapat Benuanta Gadis 2,"Rabu, 18 Juni 2025","Rabu, 18 Juni 2025",8.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,,67,BKAD,,FGD Penilaian Kesesuaian Rancangan KUA PPAS dengan KEM PPKF utk Keselarasan Perencanaan Keuangan Pusat dan Daerah,BKAD,"Rabu, 18 Juni 2025","Rabu, 18 Juni 2025",08.00,Seelsai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,115,68,Dinas ESDM,500.10/XXX/DESDM/VI/2025,FGD Evaluasi Geologi Lingkungan untuk Pemutakhiran Data Kawasan Bentang Alam Karst di Kab. Bulungan,DESDM,"Rabu, 18 Juni 2025","Rabu, 18 Juni 2025",10.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
2,116,69,Disdukcapil,400.12.4/90/DKPS.III,Sosialisasi dan Koordinasi Terkait Implementasi Sistem Manajemn Keaman Informasi SMKI Terhadap ISO :27001;2022,Command center ,"Kamis, 19 Juni 2025","Kamis, 19 Juni 2025",08.30,Selesai ,Peminjaman Ruangan dan Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,Kepala As 3,
3,117,70,Dinas Sosial,460/293/ Dinsos-LJS,Rapat Koordinasi Tenaga Pelopor Perdamaian Provinsi Kalimantan Utara Tahun 2025,Hotel Grand Pangeran Khar Tanjung Selor,"Kamis, 19 Juni 2025","Kamis, 19 Juni 2025",10.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
4,118,71,Biro Pemotda,500.12.17.1/54/PEMOTDA,Rapat Pembahasan Perpanjangan Kesepakatan Bersama antara Pemerintah Provinsi Kalimantan Utara dengan Universitas Mulawarman ,Ruang Rapat Biro Pem Otda Lantai 2,"Kamis, 19 Juni 2025","Kamis, 19 Juni 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
5,119,72,Statistik,,Pembinaan Statistik Sektoral DKISP oleh BPS,Command center ,"Jumat, 20 Juni 2025","Jumat, 20 Juni 2025",,,,,,,,
,120,73,DPMD,412//25/DPMD,"Paparan Peserta pada Lomba BUM Desa Terbaik
Tingkat Provinsi Kalimantan Utara Tahun 2025",Command center ,"Jumat, 20 Juni 2025","Jumat, 20 Juni 2025",,,,,,,,
6,121,74,BKD,800.1.2.8/4748 /BKD,"Pelantikan dan Pengambilan Sumpah/Janji Jabatan Pejabat Fungsional,
Pengangkatan Pertama dalam Jabatan Fungsional, Perpindahan Jabatan Administrasi ke Dalam
Jabatan Fungsional serta Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Tenaga Teknis, Guru
dan Kesehatan Tahap I Formasi Tahun 2024",Agathis,"Senin, 23 Juni 2025","Senin, 23 Juni 2025",7.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,122,75,Biro Pem Otda,500.12.17.1/57/PEMOTDA,"rapat pembahasan Kesepakatan
Bersama dan Perjanjian Kerja Sama antara Pemerintah Provinsi Kalimantan Utara
dan PT. Sumalindo Lestari Jaya ll",Ruang Rapat Biro Pem & Otda lantai ll,"Selasa, 24 Juni 2025","Selasa, 24 Juni 2025",8.30,,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,123,76,Dinas Pertanian dan Ketahanan Pangan,500.8/859/DPKP-III," Presentasi Perencanaan Pembangunan Pabrik Minyak Goreng
Kelapa Sawit di Kalimantan Utara",Ruang Rapat Gubernur Kalimantan Utara Lt. 4 ,"Selasa, 24 Juni 2025","Selasa, 24 Juni 2025",11.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,Gubernur,
,124,77,Biro Administrasi Pembangunan,400.14.1/100/B.Abang,Rapat Koordinasi Bagian Administrasi Pembangunan Se- Provinsi Kalimantan Utara TA 2025,Aula Penginapan Lima Putra ,"Rabu, 25 Juni 2025","Rabu, 25 Juni 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara004@gmail.com,,
8,125,78,Dinsos,460/297/DINSOS-DYS,Peningkatan Kemampuan Potensi Tenaga Kesejahteraan Sosial Kecamatan (TKSK) Kewenangan Provinsi Kalimantan Utara ,Hotel Tarakan Plaza Kota Tarakan,"Rabu, 25 Juni 2025","Rabu, 25 Juni 2025",8.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,126,79,Dinsos,010/301/DINSOS-SET,Forum Konsultasi Publik Antara Pemerintah dan Elemen Masyarakat Terkait Peningkatan Pengelolaan dan PEngaduan Layanan Dinas Sosial,Royal Tarakan ,"Rabu, 25 Juni 2025","Rabu, 25 Juni 2025",08.00 ,,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,127,80,Bappedalitbang ,000.7.1/689/BAPP-LIT.6,Muesrenbang RPJMD Provinsi Kalimantan Utara ,Serbaguna,"Rabu, 25 Juni 2025","Rabu, 25 Juni 2025",08.0,selesai ,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
7,128,81,Satpol PP,331.1/ 145 /Satpol PP-I," Penyusunan Pedoman Standar Operasional Prosedur (SOP) dalam memenuhi Standar Pelayanan Minimal
(SPM) pada seluruh bidang tugas Satpol PP",Satpol PP,"Kamis, 26 Juni 2025","Kamis, 26 Juni 2025",9.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
10,129,82,DPPPAPPKB,400.7 / 153 /DPРРAРРKВ,Disseminasi Audit Kasus Stunting / Fasilitasi Kerja sama dengan Stakeholder, Hotel Duta Tarakan,"Kamis, 26 Juni 2025","Kamis, 26 Juni 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara004@gmail.com,,
,130,83,Biro Organisasi,,Rapat Kerja Daerah Forum Sekretaris Daerah Seluruh Indonesia (FORSESDASI),Aula Kantor Gubernur,"Kamis, 26 Juni 2025","Kamis, 26 Juni 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,131,84,Biro Organisasi,,Monev SOP ,Biro organisas,"Kamis, 26 Juni 2025","Kamis, 26 Juni 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,132,,Sekda ,,Rapat RSUD,,"Rabu, 02 Juli 2025","Rabu, 02 Juli 2025",10.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,133,,Ikal Lemhanas Provinsi Kalimantan Utara,006/DPD/IKAL/KALTARA/VI/2025,Pelantikan Pengurus DPD IKAL KALTARA,Lt.1 Kantor Gub,"Rabu, 02 Juli 2025","Rabu, 02 Juli 2025",13.00,Selesai,Fasilitasi Zoom,,,,,
,134,,IKP,,Klarifikasi dan Negoisasi Harga dengan LPPM Makasar,,"Senin, 07 Juli 2025","Senin, 07 Juli 2025",10.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,135,,"Biro Pemerintahan dan
Otonomi Daerah",500.12.17.1/69/PEMOTDA,Pembahasan Kesepakatan Bersama antara Pemerintah Provinsi Kalimantan Utara dengan Pemerintah Provinsi Sulawesi Utara,Ruang Rapat Biro Pem & Otda lantai ll Kantor Gubernur Kalimantan Utara,"Senin, 07 Juli 2025","Senin, 07 Juli 2025",09.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,136,,,,Pembahasan Kesepakatan Bersama antara Pemerintah Provinsi Kalimantan Utara dengan Pemerintah Kabupaten Enrekang,,"Senin, 07 Juli 2025","Senin, 07 Juli 2025",13.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
13,138,,Aptika,,Pelatihan audit ,Command ,"Selasa, 08 Juli 2025","Selasa, 08 Juli 2025",08.00,Selesai,Peminjaman Ruangan,,,,,
,139,,DKP,500.5/0977/DKP,Rapat Pembahasan  Naskah Akademik Rumput Laut dengan Universitas Borneo,Ruang Rapat DKP,"Selasa, 08 Juli 2025","Selasa, 08 Juli 2025",13.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
16,140,,Sekretariat ,,Pendampingan Pembuatan SKP ,Command ,"Rabu, 09 Juli 2025","Rabu, 09 Juli 2025",08.00,16.00,Peminjaman Ruangan,,,,,
17,141,,Persandian ,,Bimtek Audit Keamanan SPBE ,Command Center,"Kamis, 10 Juli 2025","Kamis, 10 Juli 2025",,,Peminjaman Ruangan,,,,,
18,142,,DPKP ,500.6.4.3/944/DPKP-V,Seminar Antara Survey Investigasi Desain (SID) Cetak Sawah Rakyat di Provinsi Kalimantan Utara Tahun 2025,Ruang Rapat Lantai 1 Kantor Gadis 2,"Kamis, 10 Juli 2025","Kamis, 10 Juli 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
20,143,,Persandian ,,Pendampingan Pembuatan RPJMD dan Renstra Bidang Persandian 2025-2030,Kabid PErsandian,"Jumat, 11 Juli 2025","Jumat, 11 Juli 2025",09.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,,,Pemotda,500.12.17.1/73/PEMOTDA,rapat pembahasan Kesepakatan Bersama dan Perjanjian Kerja Sama antara Pemerintah Provinsi Kalimantan Utara dan Perwakilan Badan Pengawas Keuangan dan Pembangunan Provinsi Kalimantan Utara tentang Pengawasan Kolaboratif Lintas Sektoral dan Monitoring Terpadu Percepatan Pembangunan Kota Baru Mandiri Tanjung Selor,Ruang Rapat Biro Pem & Otda lantai ll Kantor Gubernur Kalimantan Utara,"Jumat, 11 Juli 2025","Jumat, 11 Juli 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
19,144,,aptika ,,review audit ,Command Center,"Senin, 14 Juli 2025","Senin, 14 Juli 2025",09.00,Selesai,,,,diskominfo.kaltara001@gmail.com,,
22,145,,Biro Organisasi ,000.8/162/BO,Rapat Koordinasi Organisasi Se-Kalimantan Utara oleh Kemendagri dan Kementrian PAN-RB,Swissbell Hotel Tarakan ,"Selasa, 15 Juli 2025","Selasa, 15 Juli 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
11,147,,Biro Barjas ,," Rapat Koordinasi Integrasi Pembayaran Pada Katalog Elektronik Versi 6 di Provinsi Kalimantan Utara
",,"Kamis, 17 Juli 2025","Kamis, 17 Juli 2025",10.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
25,148,,Otda,600.4.24.2/75/PEMOTDA,Evaluasi dan Monitoring Capaian SPM Triwulan II Tahun 2025,Ruang Rapat Biro Pemerintahan dan Otonomi Daerah Lt.2 Kantor Gubernur Kalimantan Utara,"Jumat, 18 Juli 2025","Jumat, 18 Juli 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,149,,Sekretariat Daerah,,Launching koperasi desa Merah Putih ,Desa Apung,"Senin, 21 Juli 2025","Senin, 21 Juli 2025",08.00,selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
27,150,,DKP,,Pembahasan hasil patroli kawasan konservasi dan pembudiyaan rumput laut,Kantor DKP,"Senin, 21 Juli 2025","Senin, 21 Juli 2025",09.00,Selesai,Fasilitasi Akun Zoom,,,diskominfo.kaltara002@gmail.com,,
,151,,Biro Administrasi Pembangunan,000.1.4/125/B.Abang,Rapat Persiapan Musyawarah Daerah Pembentukan Forum Tanggung Jawab Sosial dan Lingkungan Badan Usaha,Ruang Rapat Biro Administrasi Pembangunan ,"Kamis, 24 Juli 2025","Kamis, 24 Juli 2025",14.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
28,152,,KI,,Bimbingan Teknis pengisiannya Kuisionernya Monitoring dan Evaluasi Keterbukaan Informasi Publik Tahun 2025.,Command Center,"Senin, 28 Juli 2025","Senin, 28 Juli 2025",08.00,Selesai,Peminjaman Ruangan,,,diskominfo.kaltara001@gmail.com,,
,153,,Dishub,,"Rapat Lanjutan pembahasan rencana penerapan sistem
pembayaran secara elektronik untuk layanan pembayaran retribusi pada Dinas
Perhubungan Provinsi Kalimantan Utara",Ruang Rapat Benuanta Lt.1,"Senin, 28 Juli 2025","Senin, 28 Juli 2025",02.00,selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
26,154,,Dinas Sosial ,010/370/Dinsos-Set,"Kick Off Penyusunan Rancangan Peraturan Pelaksanaan Peraturan Daerah Nomor 17 Tahun 2024 Tentang Penghormatan, Perlindungan Dan Pemenuhan Hak Penyandang Disabilitas,",Ruang Rapat Lt.4 Kantor Gubernur ,"Selasa, 29 Juli 2025","Selasa, 29 Juli 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,155,,Dinas Kelautan dan Perikanan ,500.5.5.18/0658/DKP,Rapat Koordinasi Pembahasan Persiapan Monitoring dan Evaluasi Kawasan Konservasi di Perairan Tanjung Palas Timur,DKP,"Selasa, 29 Juli 2025","Senin, 28 Juli 2025",14.00,selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,156,,IKP,,Rapat Tim Panitia Seleksi Anggota Komisi Penyiaran Indonesia Daerah (KPID) Kalimantan Utara Periode 2025 - 2028,Command Center,"Rabu, 30 Juli 2025","Rabu, 30 Juli 2025",10.00,selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,157,,FKPT KALTARA,027/FKPT-KU/VII/2025,Kegiatan Tulisan Cinta Menyonsong Indonesia Emas (Tinta Emas),Command Center,"Kamis, 31 Juli 2025","Kamis, 31 Juli 2025",09.00,selesai,Peminjaman Ruangan,,,,,
30,158,,Serikat Media Siber Indonesia,035/SMSI-KALTARA/VII/2025,Pelatihan Sertifikasi Uji Kompetensi Wartawan (UKW),Command Center,"Jumat, 01 Agustus 2025","Jumat, 01 Agustus 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
31,159,,Bapenda,900.1.13/418/Bapenda-IV,Rapat Pengembangan Sistem Samsat Kaltara,Ruang Rapat Bapenda ,"Senin, 04 Agustus 2025","Senin, 04 Agustus 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,160,,Biro Pemerintahan dan Otonomi Daerah,500.12.17.1/82/PEMOTDA,Rapat Pembahasan Kesepakatan Bersama yang telah di Tandatangani antara Pemprov Kaltara dan Yayasan Magrove Sosial Indonesia Tentang Kerja Sama Pemanfaatan Kelompok Usaha Perhutanan Sosial di Provinsi Kalimantan Utara,Ruang Rapat Biro Pemerintahan dan Otonomi Daerah Lt.2 Kantor Gubernur Kalimantan Utara,"Senin, 04 Agustus 2025","Senin, 04 Agustus 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
32,161,,Dinas Sosial ,010/419/DINSOS-SET,Verifikasi Data dan Asistensi Perhitungan Indeks Kesejahteraan Sosial Provinsi Kab/Kota Se-Kalimantan Utara,aula Cabang Dinas Tarakan,"Selasa, 05 Agustus 2025","Rabu, 06 Agustus 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
,162,,Bapeda,,Rapat Tim Satuan Tugas Pengendalian dan Pengawasan Bahan Bakar Kendaraan Bermotor,Ruang Rapat Wakil Gubernur Lt. 3 Kantor Gubernur Provinsi Kalimantan Utara,"Kamis, 07 Agustus 2025","Kamis, 07 Agustus 2025",09.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
37,163,,Biro Administrasi Pembangunan,,Rapat Panitia Musyawarah Daerah Pembentukan Forum TJSLBU Provinsi Kalimantan Utara Masa Bakti 2025-2030,Ruang Rapat Biro Administrasi Pembangunan ,"Jumat, 08 Agustus 2025","Jumat, 08 Agustus 2025",09.01,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
36,164,,Kadis ,,Rapat Tim Efektif PKN 2 ,Command Center,"Jumat, 08 Agustus 2025","Jumat, 08 Agustus 2025",07.30,Selesai,,,,,,
34,165,,Aptika ,,Rapat Reviu Pemanfaatan Pusat Data Nasional dan Standarisasi Pengembangan Aplikasi SPBE ,Command Center,"Senin, 11 Agustus 2025","Senin, 11 Agustus 2025",08.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
35,166,,Aptika,,Rapat Koordinasi Pemanfaatan JIP Provinsi Kalimantan Utara dengan Kabupaten Nunukan,Command Center,"Selasa, 12 Agustus 2025","Rabu, 13 Agustus 2025",09.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
38,167,,Biro Administrasi Pembangunan,,Rapat Panitia Musyawarah Daerah Pembentukan Forum TJSLBU Provinsi Kalimantan Utara Masa Bakti 2025-2030,Biro Abang ,"Selasa, 12 Agustus 2025","Selasa, 12 Agustus 2025",15.00,selesai ,Fasilitasi Zoom,,,diskominfo.kaltara003@gmail.com,,
39,168,,Dinas Kelautan dan Perikanan ,500.5.3/0729/DKP,Rapat Koordinasi Pelaksana Kegiatan Penyusunan Review Dokumen Rencana Pengelolaan Zonasi Kawasan Knservasi Perairan Tanjung Palas Timur Provinsi Kalimantan Utara,DKP,"Selasa, 12 Agustus 2025","Selasa, 12 Agustus 2025",13.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
40,169,,Badan Pendapatan Daerah,000.1.4/497/Bapenda-III,Rapat Tim Satuan Tugas Pengendalian dan Pengawasan Bahan Bakar Kendaraan Bermotor,Ruang Rapat Bapenda Lantai 4 ,"Selasa, 12 Agustus 2025","Selasa, 12 Agustus 2025",14.00,Selesai ,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,170,,Persandian ,,Rapat Rencana Pelaksanaan Launching Tim Tanggap Insiden Siber Kabupaten Kota,Command Center,"Kamis, 14 Agustus 2025","Kamis, 14 Agustus 2025",14.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,171,,Aptika,,Rapat Koordinasi Implementasi Konektivitas JIP Kalimantan Utara dengan Kabupaten Nunukan,,"Jumat, 15 Agustus 2025","Jumat, 15 Agustus 2025",15.00,,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,172,,Sekretariat ,,Lomba 17 Agustus ,Command Center,"Selasa, 19 Agustus 2025","Selasa, 19 Agustus 2025",08.00,Selsai,Peminjaman Ruangan,,,,,
41,173,,Biro Pemerintahan dan Otonomi Daerah,500.12.17/87/PEMOTDA,Pertemuan Sosial Ekonomi (SOSEK MALINDO) ke-27 (8) Tahun 2025 antara Provinsi Kalimantan Utara (Indonesia) dan Negeri Sabah (Malaysia) Tahun 2025,Ruang Rapat Benuanta Lt.1,"Rabu, 20 Agustus 2025","Rabu, 20 Agustus 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
42,174,,BKAD,,RAPAT BERSAMA DISHUB,Command Center,"Kamis, 21 Agustus 2025","Kamis, 21 Agustus 2025",8:00,Selesai,Peminjaman Ruangan,,,,,Hanya Akun
43,175,,SETDA,,Monitoring dan Evaluasi Pembangunan Satuan Pelayanan Pemenuhan Gizi (SPPG),Ruang Rapat sekda,"Kamis, 21 Agustus 2025","Kamis, 21 Agustus 2025",10.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,176,,Biro Pemerintahan dan Otonomi Daerah,500.12.17.1/90/pemotda,Rapat Kerja Sosek Malindo ,Ruang Rapat Biro PemOtda,"Senin, 25 Agustus 2025","Senin, 25 Agustus 2025",08.30,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,177,,Biro Pemerintahan dan Otonomi Daerah,500.12.17.1/90/pemotda,Rapat Kerja Sosek Malindo ,Ruang Rapat Bappedalitbang ,"Senin, 25 Agustus 2025","Senin, 25 Agustus 2025",13.00,Selesai,,,,,,
,178,,Dinas Energi dan Sumber Daya Mineral,500.10.17.2/238/DESDM/VIII/2025,"Kaltara Terang d Perbataasan Negeri, Kaltara di Hati ",Ruang Rapat DESDM,"Senin, 25 Agustus 2025","Senin, 25 Agustus 2025",15.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,179,,Dinas Kesehatan ,400.7.11/3011/DINKES,Penilaian Tim Pembina Kabupaten/Kota Sehat Provinsi Terbaik Tahun 2025,Ruang Rapat Lt1 Gedung Gadis 2 ,"Rabu, 27 Agustus 2025","Rabu, 27 Agustus 2025",09.30,Selesai,Fasilitasi Zoom,,,,,
,180,,Biro Organisasi ,000.8/243/BO/2025,Simulasi dan Evaluasi Zona Integeritas Unit Kerja Provinsi Kalimantan Utara,Command Center,"Rabu, 27 Agustus 2025","Kamis, 28 Agustus 2025",08.30,Selesai,Peminjaman Ruangan,,,,,
,181,,Dinas Energi dan Sumber Daya Mineral,500.10.17.2/238/DESDM/VIII/2025,"Kaltara Terang d Perbataasan Negeri, Kaltara di Hati ",Ruang Rapat DESDM,"Rabu, 27 Agustus 2025","Rabu, 27 Agustus 2025",13.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
44,182,,Persandian ,,Asistensi Pembentukan TTIS Kota Tarakan dan Kabupaten Malinau,Ruang Persandian,"Kamis, 28 Agustus 2025","Kamis, 28 Agustus 2025",10.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
45,183,,BKAD,,,Command Center,"Jumat, 29 Agustus 2025","Jumat, 29 Agustus 2025",08.00,Selesai,Peminjaman Ruangan,,,,,
46,184,,IKP,,Rapat Koordinasi Pengelolaan Informasi dan Dokumentasi.,IKP,"Jumat, 29 Agustus 2025","Jumat, 29 Agustus 2025",09.00,Selesai,Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
47,185,,Persandian ,,Asistensi Pembentukan TTIS Kota Tarakan dan Kabupaten Malinau,Command Center,"Jumat, 29 Agustus 2025","Jumat, 29 Agustus 2025",14.00,Selesai,Peminjaman Ruangan,,,,,
48,186,,BKAD,000.2.3.2/526/BKAD,Rapat Tim Invetarisasi Barang Milik Daerah Pemerintah Provinsi Kalimantan Utara,Command Center,"Jumat, 29 Agustus 2025","Jumat, 29 Agustus 2025",09.00,Selesai,Peminjaman Ruangan,,,,,
49,187,,Biro Pemerintahan dan Otonomi Daerah,200.1.4.6/94/PEMOTDA,"Nota Kesepakatan Antara Pemprov Kaltara dan Badan Penyuluh dan Pengembangan Sumber Daya Manuasia Pertanian, Kementrian Pertanian",Ruang Rapat Biro PemOtda,"Jumat, 29 Agustus 2025","Jumat, 29 Agustus 2025",08.30,Selesai,Fasilitasi Zoom,,,,,
50,188,,BKAD,000.2.3.2/530/BKAD,"Rencana Inventarisasi Aset Tetap Prov. Kaltara",Command Center,"Senin, 01 September 2025","Senin, 01 September 2025",09.00,Selesai,Peminjaman Ruangan,,,,,1 Hari di Gedung Gadis
51,189,,Dinas Sosial ,460/491/DINSOS-PFM,Peningkatan Kapasitas Pengelola SIKS-NG Daerah ,Ruang Rapat Lt.1 Kantor Gubernur ,"Selasa, 02 September 2025","Rabu, 03 September 2025",08.00,Selesai,,,,,,
52,190,,IKP,,,Command Center,"Kamis, 04 September 2025","Kamis, 04 September 2025",08.00,Selesai,Peminjaman Ruangan,,,,,
53,191,,Biro EKonomi ,500.2.3/4815/SJ,Rapat Pengedalian INFLAsi ,Ruang Gubernur kecil,"Selasa, 02 September 2025","Selasa, 02 September 2025",08.00,Selesai,Fasilitasi Perlatan + Operator,,,,,
54,192,,Persandian ,,,Command Center,"Senin, 08 September 2025","Rabu, 10 September 2025",08.00,Selesai,Peminjaman Ruangan,,,,,
56,193,,Dinas Pertanian dan Ketahanan Pangan ,500.6/1241/DPKP-VII,Pengembangan Ketenagaan Penyuluh Pertanian ,Hotel Luminor ,"Selasa, 09 September 2025","Rabu, 10 September 2025",14.00,Selesai ,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
55,194,,Inspektorat ,800.1.13.1/839/itda,Technical Meeting Lomba Film Pendek ,Inspektorat ,"Rabu, 10 September 2025","Rabu, 10 September 2025",,,Fasilitasi Link Zoom,,,diskominfo.kaltara001@gmail.com,,
57,195,,Dinas Pertanian dan Ketahanan Pangan ,500.1.2.3/1249/DPKP,Rapat Koordinasi Hasil Monitoring dan Evaluasi Kementrian Dalam Negeri,Ruang Rapat Benuanta Lt.1,"Rabu, 10 September 2025","Rabu, 10 September 2025",09.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara003@gmail.com,,
58,196,,BAPEDDA,400.1.5.6/1196/Bapp-Lit3,Launching SIKOMPAS KALTARA,Ruang Serbaguna Kantor Gubernur,"Jumat, 12 September 2025","Jumat, 12 September 2025",08.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
